"episode","PC1","PC2","PC3","rating"
"Episode 91 - The Couch",0.256967626926986,-0.345968314901915,0.27780434965138,54
"Episode 92 - The Gymnast",0.0776336659800225,0.132429734345736,-0.18985566703259,72.5
"Episode 93 - The Soup",0.227320093479468,-0.129279971424243,-0.325137889722613,54
"Episode 94 - The Mom & Pop Store",0.13238444176554,-0.0927787818056029,0.158103320704504,36
"Episode 95 - The Secretary",0.164657372317457,-0.132514640823046,-0.14975639270817,36
"Episode 96 - The Race",0.0657489765027505,-0.224540486669874,-0.115330629227929,160
"Episode 97 - The Switch",0.270637247784002,-0.314843129938931,0.019819082691597,160
"Episode 98 - The Label Maker",0.222841605539954,-0.218960115326933,0.281830545995129,123.5
"Episode 99 - The Scofflaw",0.215858756809301,-0.429710850220378,0.223495542529246,54
"Episodes 100&101 - Highlights of a Hundred  (a.k.a. The Clip Show)",0.541959728145511,-0.398597110554271,-0.155907748268244,1
"Episode 102 - The Beard",0.175345284139308,-0.692336488842779,0.203572669003746,72.5
"Episode 103 - The Kiss Hello",0.159242516007561,-0.290514413640919,-0.0972469805603538,72.5
"Episode 104 - The Doorman",0.230325308189189,-0.224423875050363,-0.230083194919117,91
"Episode 105 - The Jimmy",0.000110686478369903,0.00141305452032923,0.00583930293311856,160
"Episode 106 - The Doodle",0.00383076206219029,0.0226566248098744,0.0297067118717053,91
"Episode 107 - The Fusilli Jerry",0.49844309752535,-0.117067464673544,-0.0807584500168282,148.5
"Episode 108 - The Diplomat's Club",0.789094143848909,0.131886250605093,-0.38694122356454,36
"Episode 109 - The Face Painter",0.376416416791886,-0.301754125203303,-0.285231825932532,91
"Episode 110 - The Understudy",0.0567515825132497,-0.283159839862414,0.065503797153726,36
"Episode 111 - The Engagement",0.486019074372914,-0.457905873602415,-0.04610635082368,123.5
"Episode 112 - The Postponement",0.324133974823592,-0.203089961258255,-0.294819226925796,72.5
"Episode 113 - The Maestro",-0.208978280314237,-0.0398707647955855,-0.203097241090605,36
"Episode 114 - The Wink",0.105356634735167,0.167804591203132,0.134338405489945,136.5
"Episode 115 - The Hot Tub",0.000152316769102665,0.00562511917037449,-0.00135631964866455,136.5
"Episode 116 - The Soup Nazi",-0.161529196617506,-0.321171400312531,0.106004742975842,175
"Episode 117 - The Secret Code",0.301428274362772,-0.827096357822792,0.038743578224354,91
"Episode 118 - The Pool Guy",0.220950008003474,-0.419532872756242,-0.0389417684340701,91
"Episode 119 - The Sponge",0.326120089448602,-0.293728480530249,-0.175654139870997,91
"Episode 120 - The Gum",0.127185360578544,-0.153008353302309,-0.120942524313958,136.5
"Episode 121 - The Rye",0.265950610743853,-0.516997912811966,-0.00548652552157098,160
"Episode 122 - The Caddy",-0.102574914594014,0.0789301189035373,-0.143692697398482,123.5
"Episode 123 - The Seven",0.113926316128986,-0.249312406950607,-0.0365340990383184,54
"Episode 124 - The Cadillac (1)",0.181787862903946,-0.268430666284782,0.0329458014667404,109
"Episode 125 - The Cadillac (2)",0.153388741887979,-0.369051336627521,-0.142951319073828,109
"Episode 126 - The Shower Head",0.102158434497101,0.342255792240565,-0.324744658006668,109
"Episode 127 - The Doll",0.343889464282414,-0.0348303051806561,-0.259177694258289,54
"Episode 128 - The Friars Club (a.k.a. The Gypsies)",0.278952109358886,-0.00855976830773794,-0.226505922139141,19.5
"Episode 129 - The Wig Master",0.0186268720174076,0.0101887512207665,0.0764977864985312,54
"Episode 130 - The Calzone",0.462308975713532,-0.23224296114084,-0.154257814398216,160
"Episode 131 - The Bottle Deposit (1)",0.146397211895928,-0.0693551068441504,-0.27331033250711,148.5
"Episode 132 - The Bottle Deposit (2)",0.289919974480069,-0.148959496042171,-0.120186059167422,148.5
"Episode 133 - The Wait Out",0.399939865607376,0.0236088631676192,-0.119552047958973,91
"Episode 134 - The Invitations",0.170320032400119,-0.221563121152871,-0.0477514928964407,136.5
"Episode 135 - The Foundation",0.026829301295779,-0.0639941609578823,-0.283388138103808,72.5
"Episode 136 - The Soul Mate",0.108562801890248,-0.162181037037376,-0.02293460909897,36
"Episode 137 - The Bizarro Jerry",0.302559176305958,0.0703003883357076,-0.345310118514197,171
"Episode 138 - The Little Kicks",0.135837599113642,-0.00755364831255032,-0.216470516220698,160
"Episode 139 - The Package",0.0397444204100453,0.534394966706026,-0.352039173736642,136.5
"Episode 140 - The Fatigues",0.0377779579543761,-0.0719135860581206,-0.0539830552196761,54
"Episode 141 - The Checks",0.0159757992359337,-0.146095275933958,0.260759857110411,54
"Episode 142 - The Chicken Roaster",0.374230036545364,0.0818798190413093,0.167980856842345,168.5
"Episode 143 - The Abstinence",0.00328534822466781,-0.0273011188475414,-0.0474830878787461,168.5
"Episode 144 - The Andrea Doria",0.0315178253439049,0.00309222522932624,-0.133490880112891,91
"Episode 145 - The Little Jerry",-0.0316703511302656,-0.184091228632826,-0.224411820435238,91
"Episode 146 - The Money",0.0108352034329705,-0.455945242854229,-0.110353649422227,15
"Episode 147 - The Comeback",0.112715631093643,-0.197129288372908,-0.139762242712318,136.5
"Episode 148 - The Van Buren Boys",0.184329452702179,-0.0965513617969032,-0.19845378449788,54
"Episode 149 - The Susie",0.0402413607259417,-0.0879155517839597,-0.0938025499440575,123.5
"Episode 150 - The Pothole",0.0124352315016887,-0.0779641725452273,0.079499503582782,136.5
"Episode 151 - The English Patient",0.306021101153898,-0.330533653509781,-0.117423922085304,123.5
"Episode 152 - The Nap",0.0667256763183786,0.0723736262770796,-0.177348960529059,148.5
"Episode 153 - The Yada Yada",0.199389749366829,-0.267391129465196,-0.102918688248,160
"Episode 154 - The Millennium",0.131792999116899,-0.0756245114074942,-0.224392675527085,54
"Episode 155 - The Muffin Tops",0.595917752363055,-0.507725511030755,-0.0492878718904975,109
"Episode 156 - The Summer of George",0.0598393670727367,-0.144549778264646,0.0375630727084036,123.5
"Episode 157 - The Butter Shave",0.0461626805573077,-0.347691054805614,-0.193407491558837,109
"Episode 158 - The Voice",0.0140135681018083,-0.00483491965272995,-0.256357497762678,109
"Episode 159 - The Serenity Now",0.28746378204681,0.29435157983717,-0.374371078064201,160
"Episode 160 - The Blood",0.38799259114633,-0.435156390674884,-0.0876017746787989,72.5
"Episode 161 - The Junk Mail",0.0448525080606219,-0.330388701216438,-0.292548268804897,36
"Episode 162 - The Merv Griffin Show",0.0974556492679378,-0.166579420437074,-0.0553675773051877,168.5
"Episode 163 - The Slicer",0.0856488734990797,-0.00868068047762949,-0.160521831964231,109
"Episode 164 - The Betrayal",0.378155989821608,-0.269865553280922,0.0478423959777063,160
"Episode 165 - The Apology",0.105723512928936,0.0299588840300637,-0.169804543760765,72.5
"Episode 166 - The Strike",0.364475165988144,-0.21429010456338,-0.189379361730113,148.5
"Episode 167 - The Dealership",-0.188494955743367,-0.0968088594231224,0.399363969934841,123.5
"Episode 168 - The Reverse Peephole (a.k.a. The Man Fur)",0.402486640787649,-0.274764713008713,-0.118502156848048,91
"Episode 169 - The Cartoon",0.0273095753763813,-0.0672043879836591,0.0510272962615997,25
"Episode 170 - The Strongbox",0.041828697303424,-0.372561358357761,-0.0036174055672589,25
"Episode 171 - The Wizard",0.186217841832859,-0.259564401688674,-0.180482041611012,36
"Episode 172 - The Burning",0.116477266694848,0.0235194933806678,-0.244301010606238,109
"Episode 173 - The Bookstore",-0.0056032366574861,0.0123661803850566,-0.205274439002862,91
"Episode 174 - The Frogger",0.114077924990171,0.052256401275649,-0.138304555912381,160
"Episode 175 - The Maid",0.206937941195895,-0.0134633914388168,-0.16300229139693,36
"Episode 176 - The Puerto Rican Day",0.0477105949501509,0.488521344945944,0.569665165856906,36
"Episodes 177&178 - The Clip Show (a.k.a. The Chronicle)",0.85435717221079,0.159983355495509,-0.747727362778448,25
"Episode 179 - The Finale (1)",-0.00504722113063027,8.01662726106303e-05,3.54818338640897e-05,8.5
